Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Courtage;Valuta;ISIN
2018-02-22;ISK - Aktier;Köp;Xspray Pharma;13;74,44;-970,00;2,00;SEK;SE0009973563
2018-02-22;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;1000,00;-;SEK;-
2018-02-16;ISK - Aktier;Köp;SAAB B;3;347,80;-1043,00;-;SEK;SE0000112385
2018-02-16;ISK - Aktier;Sälj;Ericsson B;-3;54,10;162,00;-;SEK;SE0000108656
2018-02-16;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;900,00;-;SEK;-
2018-01-15;ISK - Aktier;Köp;Lyko Group A;10;59,40;-595,00;1,00;SEK;SE0010468918
2018-01-15;ISK - Aktier;Köp;Kinnevik B;2;286,60;-573,00;-;SEK;SE0008373906
2018-01-15;ISK - Aktier;Köp;Hansa Biopharma;2;276,60;-553,00;-;SEK;SE0002148817
2018-01-15;ISK - Aktier;Köp;Volvo B;2;159,75;-320,00;-;SEK;SE0000115446
2018-01-15;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;2020,00;-;SEK;-
2018-01-12;ISK - Aktier;Köp;Xspray Pharma;10;87,50;-877,00;2,00;SEK;SE0009973563
2018-01-12;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;875,00;-;SEK;-
2018-01-03;ISK - Aktier;Köp;Ericsson B;1;54,32;-54,00;-;SEK;SE0000108656
2018-01-03;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;100,00;-;SEK;-
2018-01-02;ISK - Aktier;Köp;Lyko Group A;4;56,50;-227,00;1,00;SEK;SE0010468918
2018-01-02;ISK - Aktier;Köp;Kinnevik B;2;274,50;-549,00;-;SEK;SE0008373906
2018-01-02;ISK - Aktier;Köp;Hansa Biopharma;1;247,00;-247,00;-;SEK;SE0002148817
2018-01-02;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;800,00;-;SEK;-
2017-12-29;ISK - Aktier;Köp;BOL;1;282,20;-282,00;-;SEK;SE0000869646
2017-12-29;ISK - Aktier;Köp;Volvo B;1;155,80;-156,00;-;SEK;SE0000115446
2017-12-29;ISK - Aktier;Köp;HOLM B;1;433,70;-434,00;-;SEK;SE0000109290
2017-12-29;ISK - Aktier;Köp;Ericsson B;2;54,15;-108,00;-;SEK;SE0000108656
2017-12-29;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;221,00;-;SEK;-
2017-12-28;ISK - Aktier;Insättning;Direktinsättning från SEB;-;-;981,00;-;SEK;-
